translation_status,final_url,title,url_language,translated_languages,missing_languages,hreflang_languages,status_code,error
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/punaisen-ristin-viikko,Punaisen Ristin viikko - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/varainhankinta/yleiset-kerays-ohjeet/ajankohtaiset-keraykset/kerays-venezuela,Keräys Venezuela – tietoa vapaaehtoisille - Punainen Risti,,"fi, sv",en,"sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/verkkoauttaminen/vapaaehtoiset-verkkoyhteisoissa,Ohjeita verkkoyhteisöjen vapaaehtoisille - Punainen Risti,,"fi, en",sv,"en, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/oman-tukisivut/oman-ryhmat,OMA:n ryhmät - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/eettinen-vastuullinen-ilmastoystavallinen-ja-turvallinen-vapaaehtoistoiminta/sopuisasti-punaisessa-ristissa,Sopuisasti Punaisessa Ristissä - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/aakkoshaku,Vapaaehtoistieto aakkosittain - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/eettinen-vastuullinen-ilmastoystavallinen-ja-turvallinen-vapaaehtoistoiminta/vaarinkaytosilmoitus-vapaaehtoistoiminnassa,Väärinkäytöksestä ilmoittaminen vapaaehtoistoiminnassa - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/vapaaehtoiskouluttajat/hae-vapaaehtoiskouluttajaksi,Hae vapaaehtois-kouluttajaksi - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/uudistuu/usein-kysytyt-kysymykset-osastosivuista,Usein kysytyt kysymykset osastosivuista - Punainen Risti,,,"fi, sv, en",,200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/varainhankinta/yleiset-kerays-ohjeet/keraysjohtajan-perehdytys,Keräysjohtajan perehdytys - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/osastojen-tuki/vuoden-2025-tapahtumat-ja-paivamaarat-osastoille,Vuoden tapahtumat ja päivämäärät osastoille - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/ystavatoiminta/ystavavalittajat/sahkoisen-ystavavalityksen-ohje/vapaaehtoisten-kortit,Vapaaehtoisten kortit - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/lyhytkestoiset-vapaaehtoistehtavat,Lyhytkestoiset vapaaehtoistehtävät Punaisella Ristillä - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/tyosuhdeasiat-ja-palkanlaskenta,Työsuhdeasiat ja palkanlaskenta - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta/nuorten-unelmien-punainen-risti,Nuorten unelmien Punainen Risti - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/vapaaehtoisten-kiittaminen,Vapaaehtoisten kiittäminen - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/valmius/ensiapuryhmatoiminta/ensiapuryhmien-kouluttajat,Ensiapuryhmien kouluttajat - Punainen Risti,,"fi, sv",en,"sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo,Maahanmuuttotyö - vapaaehtoistoiminnan tueksi - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/osastojen-tuki/avustukset-osastoille,Avustukset osastoille - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/tietoa-uudelle-vapaaehtoiselle/keskeiset-kasitteet-tutuksi-vapaaehtoiselle,Keskeiset käsitteet tutuiksi vapaaehtoisille - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/vapaaehtoiskouluttajat/jarjestokouluttajat,Järjestökouluttajat - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/osastojen-tuki/osaston-talousohjeet,Osaston talousohjeet - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta/nuorten-vaikuttajien-verkosto,Nuorten vaikuttajien verkosto - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/ystavatoiminta/ystavavalittajat/sahkoisen-ystavavalityksen-ohje/tiedonkeruu-ja-tilastointi,Ystävävälityksen tiedonkeruu ja tilastointi - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/yleiskokous-2026/yleiskokous-2026-uutiset/tervetuloa-rovaniemelle,Tervetuloa yleiskokoukseen 2026 Rovaniemelle! - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen/arjen-turvallisuus,Tapaturmien ehkäisy - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/vapaaehtoiskouluttajat/kouluttajakoulutus,Kouluttajakoulutus - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/verkkoauttaminen/verkkoystava,Ystävänä verkossa - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/eettinen-vastuullinen-ilmastoystavallinen-ja-turvallinen-vapaaehtoistoiminta/vapaaehtoisten-uhka--ja-vaaratilanne-tyokalu,Vapaaehtoisten uhka- ja vaaratilanne-työkalu - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen/terveyden-edistamisen-toimintakalenteri,Terveyden edistämisen toimintakalenteri 2026 - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen/arjen-turvallisuus/tilaisuuksien-raportointiohjeet,Tilaisuuksien raportointiohjeet - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/osastojen-tuki/huomionosoitusohje-ja-anomuslomake,Huomionosoitusohje ja anomuslomake - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo/kotoutumisen-tuki,Kotoutumisen tuki – tietoa vapaaehtoisille - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo/kotoutumisen-tuki/kohtaamispaikat,Kohtaamispaikat ja -kahvilat - Punainen Risti,,,"fi, sv, en",,200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo/kotoutumisen-tuki/hyvia-kaytantoja,Hyviä käytäntöjä - Punainen Risti,,,"fi, sv, en",,200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/toimintamuodot,Vapaaehtoistieto toimintamuodoittain - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/hallituksen-ja-valiokuntien-tiedotteet-jasenistolle,Hallituksen ja valiokuntien tiedotteet jäsenistölle - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/valmius/ensiapuryhmatoiminta/ensiapuryhmien-kouluttajat/ea-paivystysten-johtaminen,EA-päivystysten johtaminen - Punainen Risti,,"fi, sv",en,"sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/vapaaehtoisten-kulukorvaukset,Vapaaehtoisten kulukorvaukset - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta,Nuorten toiminta - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/vapaaehtoistoiminnan-linjaus,Vapaaehtois-toiminnan linjaus - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/oman-tukisivut/oman-osastojen-hallintanakymat,OMA:n osastojen hallintanäkymä - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/ystavatoiminta/ystavatoiminnan-koulutukset/ystavatoiminnan-peruskurssit,Ystävätoiminnan peruskurssit - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta/nuoriystavallinen-osasto,Nuoriystävällinen osasto - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/valmius/psykososiaalinen-tuki,Psykososiaalinen tuki - Punainen Risti,,"fi, sv",en,"sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/vapaaehtoiskouluttajat/jarjestokouluttajat/lippu-korkealle,Lippu korkealle! - Punainen Risti,,"fi, sv",en,"sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/ruoka-apu/tietoa-ja-tukea-vapaaehtoisille,Tietoa ja tukea vapaaehtoisille ruoka-avusta - Punainen Risti,,"fi, sv",en,"sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/varainhankinta/yleiset-kerays-ohjeet/ajankohtaiset-keraykset,Ajankohtaiset keräykset - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/vapaaehtoisten-vakuutukset,Vapaaehtoisten vakuutukset - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/oman-tukisivut/oman-tapahtumat,OMA:n tapahtumat - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/vapaaehtoiskouluttajat/kouluttajien-yhteiset-aineistot/punaisen-ristin-esittelymateriaalit,Punaisen Ristin esittelymateriaalit - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/ystavatoiminta/ystavavalittajat/sahkoisen-ystavavalityksen-ohje/ystavaasiakkaiden-kortit,Ystäväasiakkaiden kortit - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen/arjen-turvallisuus/turvallisuuskampanjat,Turvallisuus-kampanjat - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/yleiskokous-2026,Yleiskokous 2026  - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/vapaaehtoiskouluttajat,Vapaaehtois-kouluttajat - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/varainhankinta/nalkapaiva,Nälkäpäivä – tietoa vapaaehtoisille - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo/turvapaikanhakijoiden-vastaanotto,Turvapaikanhakijoiden vastaanotto - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta/ohje-alaikaisten-henkilotietojen-keraamiseen-ja-kasittelyyn,Ohje alaikäisten henkilötietojen keräämiseen ja käsittelyyn - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta/nuoriystavallinen-osasto/toimintamuotojen-kehittaminen,Toimintamuotojen kehittäminen - Punainen Risti,,"fi, sv",en,"sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/ystavatoiminta,Ystävätoiminta - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/vapaaehtoisen-hyvinvointi,Vapaaehtoisen hyvinvointi - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
error,https://vapaaehtoistieto.punainenristi.fi/vapaaehtoiseksi/ystavatoiminta//ystavatoiminnan-materiaalit/tapahtumamalleja,,,,"fi, sv, en",,404,HTTP 404
partially_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/vapaaehtoiskouluttajat/resurssikouluttajat,Resurssikouluttajat - Punainen Risti,,"fi, sv",en,"sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/valmius/kotimaan-valmius,Kotimaan valmius - Punainen Risti,,,"fi, sv, en",,200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/valmius/psykososiaalinen-tuki/henkisen-tuen-ryhmat,Henkisen tuen ryhmät - Punainen Risti,,,"fi, sv, en",,200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/yleiskokous-2026/yleiskokous-2026-uutiset/iloa-inspiraatiota-ja-paatosten-tekoa--yleiskokous-tarjosi-ensikertalaiselle-monipuolisen-kokemuksen,"Iloa, inspiraatiota ja päätösten tekoa – Yleiskokous tarjosi ensikertalaiselle monipuolisen kokemuksen - Punainen Risti",,"fi, sv",en,"sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/viestinta,Vapaaehtoisten viestintä - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo/sinustako-punaisen-ristin-kouluttaja,Sinustako Punaisen Ristin kouluttaja? - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen/arjen-turvallisuus/turvakoutsien-taydennyskoulutuksia-ja-tapaamisia-2025/turvakoutsien-taydennyskoulutuksia-ja-tapaamisia-2022-2024,Menneitä Turvakoutsien täydennyskoulutuksia ja tapaamisia - Punainen Risti,,,"fi, sv, en",,200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyon-kouluttajat,Maahanmuuttotyön kouluttajat - Punainen Risti,,,"fi, sv, en",,200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/varainhankinta/nalkapaiva/kerayksen-jarjestaminen,Keräyksen materiaalit - Punainen Risti,,"fi, sv",en,"sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/ruoka-apu/tule-mukaan-vapaaehtoiseksi,Haluatko vapaaehtoiseksi ruoka-apuun? - Punainen Risti,,,"fi, sv, en",,200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen/arjen-turvallisuus/turvakoutsilaukku,Turvakoutsilaukku - Punainen Risti,,,"fi, sv, en",,200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta/nuoriystavallinen-osasto/toimintatapojen-kehittaminen,Toimintatapojen kehittäminen - Punainen Risti,,"fi, sv",en,"sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/ystavatoiminta/ystavatoiminnan-koulutukset/ystavatoiminnan-peruskurssit/ystavakurssi-ukrainaksi-ja-venajaksi,Ystäväkurssi ukrainaksi ja venäjäksi - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/vapaaehtoiskouluttajat/kouluttajalinjakohtaiset-aineistot,Kouluttajalinja-kohtaiset materiaalit - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/valmius/ensiapuryhmatoiminta/ensiapuryhmat,Ensiapuryhmät - Punainen Risti,,"fi, sv",en,"sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/viestinta/osastojen-viestinta,Työkaluja osastojen viestintään - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen,Terveyden edistäminen - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/ystavatoiminta/hyva-joulumieli,Hyvä Joulumieli -keräyksestä vapaaehtoisille - Punainen Risti,,,"fi, sv, en",,200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo/kotoutumisen-tuki/kielikerhot,Kielikerhot - Punainen Risti,,,"fi, sv, en",,200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta/nuorten-digiraadit,Nuorten Digiraati - Punainen Risti,,"fi, sv",en,"sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo/kotoutumisen-tuki/laksykerhot-ja-laksyhelpit,LäksyHelpit - Punainen Risti,,,"fi, sv, en",,200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/suojelu/Muistikortit-suojelun-ja-moninaisten-tarpeiden-huomioimiseen,Muistikortit suojelun ja moninaisten tarpeiden huomioimiseen - Punainen Risti,,,"fi, sv, en",,200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/eettinen-vastuullinen-ilmastoystavallinen-ja-turvallinen-vapaaehtoistoiminta/sopuisasti-punaisessa-ristissa/vapaaehtoisen-toimintakielto,Vapaaehtoisen toimintakielto SPR - Punainen Risti,,,"fi, sv, en",,200,
error,https://vapaaehtoistieto.punainenristi.fi/EPiServer/CMS/~/link/62d4383794a845978231d8795dd82fbc.aspx,,,,"fi, sv, en",,404,HTTP 404
partially_translated,https://vapaaehtoistieto.punainenristi.fi/varainhankinta/hataapukerays-ukraina,Hätäapukeräys Ukraina - Punainen Risti,,"fi, sv",en,"sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen/arjen-turvallisuus/turvallisuuskampanjat/pysy-pystyssa--kampanja,Pysy pystyssä -kampanja - Punainen Risti,,"fi, sv",en,"sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyon-kouluttajat/perheyhteyksien-palauttaminen-ja-sailyttaminen,Perheyhteyksien palauttaminen ja säilyttäminen -koulutus - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/osastojen-tuki/jarjeston-saannot-toimintalinjaukset-ja--suunnitelmat,Järjestön toimintalinjaukset ja -suunnitelmat - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta/nuorten-yleiskokous/nuorten-yleiskokous-2026,Nuorten yleiskokous 2026 - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo/vapaaehtoiset-kertovat,Vapaaehtoiset kertovat - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/eettinen-vastuullinen-ilmastoystavallinen-ja-turvallinen-vapaaehtoistoiminta,"Eettinen, vastuullinen, ilmastoystävällinen ja turvallinen vapaaehtoistoiminta - Punainen Risti",,"fi, sv, en",,"en, sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit,Osastojen tukimateriaalit - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/osastojen-tuki/jasenhankinta,Jäsenhankinta - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/verkkoauttaminen/verkkoapu-ja-osastot,Valtakunnallinen verkkoapu ja osastotoiminta - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/koulu--ja-oppilaitosyhteistyo/vapaaehtoistyo-osana-opintoja,Vapaaehtoistyö osana opintoja - Punainen Risti,,"fi, sv",en,"sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen/paihdetyo/paihdetyo-koulutuspolut,Suomen Punaisen Ristin Päihdetyön koulutuspolut - Punainen Risti,,,"fi, sv, en",,200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/nuortentoiminta/nallesairaala,Nallesairaala - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/osastojen-tuki/osaston-kehittamistyokalu,Osaston kehittämistyökalu - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/maahanmuutto/maahanmuuttotyo/perheyhteyksien-palauttaminen,Perheyhteyksien palauttaminen ja säilyttäminen - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/varainhankinta/nalkapaiva/nalkapaivan-viestinta,Nälkäpäivän viestintä - Punainen Risti,,"fi, sv",en,"sv, fi",200,
partially_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/koulu--ja-oppilaitosyhteistyo/kouluyhteistyon-yhdyshenkilo,Yhdyshenkilön rooli - Punainen Risti,,"fi, sv",en,"sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/ruoka-apu/aineellista-apua-ja-osallisuutta,Aineellista apua ja osallisuutta - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/terveyden-edistaminen/terveyspisteet/materiaalit-terveyskeskustelujen-tueksi,Materiaalit terveyskeskustelujen tueksi - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/ruoka-apu/ruoka-apu-osana-auttamisvalmiutta-2,Ruoka-apu Avun ketju -valmiusharjoituksessa - Punainen Risti,,,"fi, sv, en",,200,
not_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/suojelu,Suojelu ja haavoittuvuudet - Punainen Risti,,,"fi, sv, en",,200,
fully_translated,https://vapaaehtoistieto.punainenristi.fi/jarjestotoiminta/osastojen-tukimateriaalit/vapaaehtoisuuden-tuki/vapaaehtoisuus-tilastoina,Vapaaehtoisuus tilastoina - Punainen Risti,,"fi, sv, en",,"en, sv, fi",200,
